,name,youtube_title,name_yt_similarity,youtube_description,youtube_videoId,url,youtube_videoLink,youtube_publishedAt,youtube_viewCount,youtube_likeCount,youtube_dislikeCount,youtube_favoriteCount,youtube_commentCount
0,Ken Robinson: Do schools kill creativity?,Do schools kill creativity? | Sir Ken Robinson,0.9767483130677757,Sir Ken Robinson makes an entertaining and profoundly moving case for creating an education system that nurtures (rather than undermines) creativity. Get TED ...,iG9CE55wbtY,"https://www.ted.com/talks/ken_robinson_says_schools_kill_creativity
",https://www.youtube.com/watch?v=iG9CE55wbtY,2007-01-07T05:00:34.000Z,17861752,184126.0,3120.0,0,10150.0
1,Al Gore: Averting the climate crisis,Averting the climate crisis | Al Gore,0.9866666666666664,"http://www.ted.com With the same humor and humanity he exuded in An Inconvenient Truth, Al Gore spells out 15 ways that individuals can address climate ...",rDiGYuQicpA,"https://www.ted.com/talks/al_gore_on_averting_climate_crisis
",https://www.youtube.com/watch?v=rDiGYuQicpA,2007-01-16T21:47:14.000Z,187369,765.0,240.0,0,300.0
2,David Pogue: Simplicity sells,David Pogue: Simplicity sells,1.0,"http://www.ted.com New York Times columnist David Pogue takes aim at technologys worst interface-design offenders, and provides encouraging examples of ...",NEjZt0y6OOw,"https://www.ted.com/talks/david_pogue_says_simplicity_sells
",https://www.youtube.com/watch?v=NEjZt0y6OOw,2007-01-16T22:15:43.000Z,91385,639.0,52.0,0,52.0
3,Majora Carter: Greening the ghetto,Greening the ghetto | Majora Carter,0.9886363636363635,"http://www.ted.com In an emotionally charged talk, MacArthur-winning activist Majora Carter details her fight for environmental justice in the South Bronx -- and ...",gQ-cZRmHfs4,"https://www.ted.com/talks/majora_carter_s_tale_of_urban_renewal
",https://www.youtube.com/watch?v=gQ-cZRmHfs4,2007-01-07T04:18:33.000Z,151953,1262.0,46.0,0,81.0
4,Hans Rosling: The best stats you've ever seen,The best stats you&#39;ve ever seen | Hans Rosling,0.9693454914622451,"http://www.ted.com With the drama and urgency of a sportscaster, statistics guru Hans Rosling uses an amazing new presentation tool, Gapminder, to present ...",hVimVzgtD6w,"https://www.ted.com/talks/hans_rosling_shows_the_best_stats_you_ve_ever_seen
",https://www.youtube.com/watch?v=hVimVzgtD6w,2007-01-16T22:47:37.000Z,3044685,23390.0,544.0,0,979.0
5,Tony Robbins: Why we do what we do,Why We Do What We Do | Tony Robbins Podcast,0.7948508053971102,"Why do we do what we do? You might think you want one thing, let's say, a job in a new industry, but then when it's actually in your grasp, you sabotage yourself.",IAavZgI56vE,"https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
",https://www.youtube.com/watch?v=IAavZgI56vE,2018-07-02T16:56:23.000Z,43259,568.0,34.0,0,15.0
6,Julia Sweeney: Letting go of God,Letting Go Of God,0.767868896042439,A one-person comedic and dramatic show about losing one's religion.,C74-f4ZV-ss,"https://www.ted.com/talks/julia_sweeney_on_letting_go_of_god
",https://www.youtube.com/watch?v=C74-f4ZV-ss,2019-04-01T20:32:46.000Z,33783,1400.0,29.0,0,23.0
7,Joshua Prince-Ramus: Behind the design of Seattle's library,Joshua Prince-Ramus: Designing the Seattle Central Library,0.9436135353337407,"http://www.ted.com Architect Joshua Prince-Ramus takes the audience on dazzling, dizzying virtual tours of three recent projects: the Central Library in Seattle, ...",1x0PA0Rnjho,"https://www.ted.com/talks/joshua_prince_ramus_on_seattle_s_library
",https://www.youtube.com/watch?v=1x0PA0Rnjho,2007-01-14T19:25:17.000Z,76108,369.0,12.0,0,16.0
8,Dan Dennett: Let's teach religion -- all religion -- in schools,Dan Dennett: Let&#39;s teach religion -- all religion -- in schools,0.9859589579091832,"Philosopher Dan Dennett calls for religion -- all religion -- to be taught in schools, so we can understand its nature as a natural phenomenon. Then he takes on ...",dIrIafHhwEw,"https://www.ted.com/talks/dan_dennett_s_response_to_rick_warren
",https://www.youtube.com/watch?v=dIrIafHhwEw,2013-08-10T04:07:10.000Z,7985,69.0,4.0,0,20.0
9,Rick Warren: A life of purpose,A life of purpose | Rick Warren,0.9777777777777779,"http://www.ted.com Pastor, philanthropist and author Rick Warren reflects on how the success of his book The Purpose-Driven Life triggered his own crisis of ...",640BQNxB5mc,"https://www.ted.com/talks/rick_warren_on_a_life_of_purpose
",https://www.youtube.com/watch?v=640BQNxB5mc,2008-04-15T18:31:03.000Z,744173,6633.0,1293.0,0,1393.0
