rowid,name,youtube_title,name_yt_similarity,youtube_description,youtube_videoId,url,youtube_videoLink,correct_youtube,manual_youtube_link,note
629,Richard Feynman: Physics is fun to imagine,New! FUN TO IMAGINE with Richard Feynman BBC2 - COMPLETE in HIGHER RESOLUTION,0.454070638,"All the original episodes and stories in one video - total 66 minutes. Recorded at Feynman's home in Altadena, California, in 1983 and first broadcast on BBC2.",P1ww1IXRfTA,"https://www.ted.com/talks/richard_feynman
",https://www.youtube.com/watch?v=P1ww1IXRfTA,0,https://www.youtube.com/watch?v=aXtnYnoutKk,
211,David Hoffman: Sputnik mania,The Story Of The Sputnik Moment,0.456004662,Please purchase my entire film at https://www.amazon.com/dp/B001MBTSAO . To support my efforts to create more clips please donate to me at ...,GhJnt3xW2Fc,"https://www.ted.com/talks/david_hoffman_shares_his_sputnik_mania
",https://www.youtube.com/watch?v=GhJnt3xW2Fc,0,,David Hoffman presented an excerpt at a TED talk. It contains footage from an hour long video
2476,"Sofi Tukker: ""Awoo""",SOFI TUKKER - Awoo feat. Betta Lemme (Official Video),0.459587992,"SOFI TUKKER - Awoo feat. Betta Lemme Available Now on the ""Soft Animals EP"" http://smarturl.it/SoftAnimals German Fans Watch Here ...",x7g_SWE90O8,"https://www.ted.com/talks/sofi_tukker_awoo
",https://www.youtube.com/watch?v=x7g_SWE90O8,0,https://www.youtube.com/watch?v=-E5K2pGB08Y,
393,Miru Kim: My underground art explorations,NAKED CITY &amp; PIGS - The Thing About...Miru Kim,0.496903995,"Miru Kim is a New York-based artist and explorer. Her first series, â€œNaked City Spleenâ€ is based on her exploration of urban ruins such as abandoned subway ...",4yBPo0zZauk,"https://www.ted.com/talks/miru_kim_s_underground_art
",https://www.youtube.com/watch?v=4yBPo0zZauk,0,https://www.youtube.com/watch?v=ScJVrV6bk1g,
293,Ann Cooper: What's wrong with school lunches,"Ann Cooper - SCHOOL LUNCH&#39;S - TED TALK - documentary, lecture, talk (health)",0.620920421,"Ann Cooper - School Lunch's - TED talk - documentary, lecture, talk (health) http://www.healthandsuperfoods.com/ http://www.sporf.net/ Speaking at the 2007 EG ...",QSTZ6AdQdwk,"https://www.ted.com/talks/ann_cooper_talks_school_lunches
",https://www.youtube.com/watch?v=QSTZ6AdQdwk,0,https://www.youtube.com/watch?v=f96L6BkeO9Y,
599,"Sivamani: Rhythm is everything, everywhere",Sivamani in concert,0.624980739,Rhythm is everywhere and Sivamani is out to prove it in this scintillating performance. S.S. Kumar of The Hindu keeps the beat.,vRn7Mc-OzHM,"https://www.ted.com/talks/sivamani_rhythm_is_everything_everywhere
",https://www.youtube.com/watch?v=vRn7Mc-OzHM,0,https://www.youtube.com/watch?v=jxxL1aOjpwg,
259,Helen Fisher: The brain in love,Dr. Helen Fisher: &quot;Anatomy of Love&quot; | Talks At Google,0.628608007,"Dr. Helen Fisher joined us at Google New York to talk about the neuroscience behind falling in love, why we love who we love, and the future of romantic love.",Wthc5hdzU1s,"https://www.ted.com/talks/helen_fisher_studies_the_brain_in_love
",https://www.youtube.com/watch?v=Wthc5hdzU1s,0,https://www.youtube.com/watch?v=OYfoGTIG7pY,
963,Maya Beiser: A cello with many voices,"Heroin (Arr. D. Lang for Voice, Cello &amp; Electronics)",0.723572866,"Provided to YouTube by NAXOS of America Heroin (Arr. D. Lang for Voice, Cello & Electronics) Â· Maya Beiser TranceClassical â„— 2016 Innova Released on: ...",nwjbJKCiIsc,"https://www.ted.com/talks/maya_beiser_s_and_her_cello_s
",https://www.youtube.com/watch?v=nwjbJKCiIsc,0,https://www.youtube.com/watch?v=R6X_IhgJLzA,
1192,Rick Falkvinge: I am a pirate,The Pirate Party - the politics of protest: Rick Falkvinge at TEDxObserver,0.724168909,"Rick Falkvinge Political evangelist In 2006, Rick Falkvinge, a Swedish software entrepreneur, founded a new political party centred around the subjects of file ...",zsI3-IEWgFg,"https://www.ted.com/talks/rick_falkvinge_i_am_a_pirate
",https://www.youtube.com/watch?v=zsI3-IEWgFg,0,https://www.youtube.com/watch?v=zdiFV-AFbBA,
2239,"John Legend: ""Redemption Song""",John Legend performs live &quot;Redemption Song&quot; by Bob Marley at 2017 Nobel Peace Prize award ceremony,0.744208408,"Watch John Legend as he performs live ""Redemption Song"" by Bob Marley at this year's Nobel Peace Prize award ceremony.",tlQn8_I6pjY,"https://www.ted.com/talks/john_legend_redemption_song
",https://www.youtube.com/watch?v=tlQn8_I6pjY,0,https://www.youtube.com/watch?v=Znc6TJAAXFU,
