,name,ted_views,ted_comments,ted_engagement,ted_positivity,yt_views,yt_comments,yt_engagement,yt_positivity,agg_views,agg_comments,agg_engagement,agg_positivity
0,Ken Robinson: Do schools kill creativity?,47227110,4553,0.0001,39.59256,17861752.0,10150.0,0.0005682533269972621,59.01474358974359,65088862.0,14703.0,0.00022589118242687974,50.748159057437405
1,Al Gore: Averting the climate crisis,3200520,265,8e-05,2.8279,187369.0,300.0,0.001601118648228896,3.1875,3387889.0,565.0,0.00016677051697974756,2.913604766633565
2,David Pogue: Simplicity sells,1636292,124,8e-05,4.68209,91385.0,52.0,0.0005690211741533074,12.288461538461538,1727677.0,176.0,0.0001018708936913555,5.402550091074681
3,Majora Carter: Greening the ghetto,1697550,200,0.00012,14.46888,151953.0,81.0,0.0005330595644705929,27.434782608695652,1849503.0,281.0,0.0001519327084086914,16.54703832752613
4,Hans Rosling: The best stats you've ever seen,12005869,593,5e-05,44.91398,3044685.0,979.0,0.0003215439364006457,42.99632352941177,15050554.0,1572.0,0.00010444798244636044,43.96733212341198
5,Tony Robbins: Why we do what we do,20685401,672,3e-05,7.83036,43259.0,15.0,0.0003467486534593957,16.705882352941178,20728660.0,687.0,3.314251861914856e-05,8.000564015792442
6,Julia Sweeney: Letting go of God,3769987,919,0.00024,4.51287,33783.0,23.0,0.0006808157949264423,48.275862068965516,3803770.0,942.0,0.00024764904292320515,5.649059982094897
7,Joshua Prince-Ramus: Behind the design of Seattle's library,967741,46,5e-05,6.06207,76108.0,16.0,0.00021022757134598203,30.75,1043849.0,62.0,5.9395563917769715e-05,7.949044585987261
8,Dan Dennett: Let's teach religion -- all religion -- in schools,2567958,852,0.00033,4.14472,7985.0,20.0,0.002504696305572949,17.25,2575943.0,872.0,0.0003385168072430174,4.212710765239948
9,Rick Warren: A life of purpose,3095993,900,0.00029,3.45056,744173.0,1393.0,0.0018718765663360535,5.129930394431555,3840166.0,2293.0,0.000597109604116072,4.1368520859671305
10,Cameron Sinclair: My wish: A call for open-source architecture,1211416,79,7e-05,14.47826,81022.0,27.0,0.0003332428229369801,33.57142857142857,1292438.0,106.0,8.201553962356414e-05,16.550387596899224
11,Jehane Noujaim: My wish: A global day of film,387877,55,0.00014,8.25,12739.0,13.0,0.0010204882643849596,10.2,400616.0,68.0,0.00016973860255206982,8.513513513513514
12,Larry Brilliant: My wish: Help me stop pandemics,693341,71,0.0001,26.6875,39716.0,21.0,0.0005287541544969281,26.22222222222222,733057.0,92.0,0.000125501836828514,26.585365853658537
13,Jeff Han: The radical promise of the multi-touch interface,4531020,242,5e-05,25.23659,403333.0,126.0,0.0003123969523941755,16.184615384615384,4934353.0,368.0,7.45791798843739e-05,23.69633507853403
14,Nicholas Negroponte: One Laptop per Child,358304,99,0.00028,6.96939,43064.0,31.0,0.0007198588147872933,11.631578947368421,401368.0,130.0,0.0003238922883737617,7.726495726495727
15,Sirena Huang: An 11-year-old's magical violin,2702470,325,0.00012,32.18617,541817.0,,,23.36994219653179,3244287.0,,,27.9612188365651
16,"Jennifer Lin: Improvising on piano, aged 14",1628912,305,0.00019,21.38756,77713.0,,,21.458333333333332,1706625.0,,,21.394849785407725
17,Amy Smith: Simple designs to save a life,1415724,88,6e-05,23.49315,33986.0,19.0,0.0005590537280056494,22.285714285714285,1449710.0,107.0,7.380786502128012e-05,23.3875
18,"Ross Lovegrove: Organic design, inspired by nature",1074081,163,0.00015,2.27288,92991.0,47.0,0.00050542525620759,10.5,1167072.0,210.0,0.00017993748457678703,2.819620253164557
19,Jimmy Wales: The birth of Wikipedia,1106561,84,8e-05,9.33553,8044.0,4.0,0.0004972650422675286,21.5,1114605.0,88.0,7.895173626531371e-05,9.493506493506494
20,Richard Baraniuk: The birth of the open-source learning revolution,966439,108,0.00011,7.46763,97244.0,96.0,0.0009872074369626919,17.20689655172414,1063683.0,204.0,0.0001917864626961228,9.148809523809524
21,Ze Frank: Nerdcore comedy,6141440,185,3e-05,2.98764,1563759.0,722.0,0.0004617079741827225,22.723076923076924,7705199.0,907.0,0.0001177127287692375,8.641873278236915
22,Mena Trott: Meet the founder of the blog revolution,518624,50,0.0001,1.21469,12716.0,4.0,0.00031456432840515884,5.411764705882353,531340.0,54.0,0.00010162984153272858,1.4070080862533694
23,"Helen Fisher: Why we love, why we cheat",9260764,556,6e-05,8.67684,1335831.0,868.0,0.0006497827943804269,15.190871369294605,10596595.0,1424.0,0.00013438278994337333,11.240609689711485
24,Eve Ensler: Happiness in body and soul,1131864,117,0.0001,17.35714,86183.0,131.0,0.0015200213499181974,9.338983050847459,1218047.0,248.0,0.00020360462281012145,14.979899497487438
25,David Deutsch: Chemical scum that dream of distant quasars,1096862,184,0.00017,14.4087,120277.0,139.0,0.0011556656717410644,31.61904761904762,1217139.0,323.0,0.0002653764278360976,17.066176470588236
26,Richard Dawkins: Why the universe seems so strange,2885999,507,0.00018,14.01307,1692179.0,5403.0,0.0031929246255863004,23.44392523364486,4578178.0,5910.0,0.0012909065571500278,20.96041308089501
27,Steven Levitt: The freakonomics of crack dealing,2863214,95,3e-05,15.68852,2118480.0,2116.0,0.0009988293493448132,23.091,4981694.0,2211.0,0.0004438249318404543,22.28609625668449
28,"Malcolm Gladwell: Choice, happiness and spaghetti sauce",7023562,355,5e-05,12.39774,1487981.0,558.0,0.0003750047883675934,30.13939393939394,8511543.0,913.0,0.0001072660973456869,17.592724046140194
29,Dan Gilbert: The surprising science of happiness,14689301,970,7e-05,17.19633,3275068.0,1279.0,0.0003905262425085525,23.59391304347826,17964369.0,2249.0,0.00012519226252811886,20.48080357142857
30,Barry Schwartz: The paradox of choice,10000702,991,0.0001,12.6859,3506546.0,3710.0,0.0010580211980678422,21.898263027295286,13507248.0,4701.0,0.00034803536590132943,18.660444158352107
31,Eva Vertes: Meet the future of cancer research,1030267,213,0.00021,6.26667,32740.0,33.0,0.0010079413561392791,10.88,1063007.0,246.0,0.00023141898407065992,6.638709677419355
32,Aubrey de Grey: A roadmap to end aging,3277740,612,0.00019,4.51156,607184.0,2330.0,0.0038373870194208016,15.866952789699571,3884924.0,2942.0,0.0007572863716252879,6.666123778501628
33,Iqbal Quadir: How mobile phones can fight poverty,503517,74,0.00015,9.08571,30810.0,8.0,0.0002596559558584875,13.384615384615385,534327.0,82.0,0.0001534640772410902,9.759036144578314
34,Jacqueline Novogratz: Invest in Africa's own solutions,705389,58,8e-05,14.40816,20429.0,8.0,0.0003916001762200793,9.9,725818.0,66.0,9.09318865059836e-05,13.64406779661017
35,Sasa Vucinic: Why we should invest in a free press,580891,43,7e-05,4.8,18824.0,7.0,0.00037186570335741607,6.5,599715.0,50.0,8.337293547768524e-05,5.0344827586206895
36,Ashraf Ghani: How to rebuild a broken state,809226,67,8e-05,5.23776,111991.0,202.0,0.0018037163700654517,11.0,921217.0,269.0,0.00029200503247334776,7.566666666666666
37,Burt Rutan: The real future of space exploration,2028451,186,9e-05,5.08735,73395.0,77.0,0.0010491177873152122,19.678571428571427,2101846.0,263.0,0.00012512810167823903,6.222222222222222
38,Ben Saunders: Why did I ski to the North Pole?,745231,57,8e-05,17.08929,49245.0,17.0,0.00034521271195045184,37.142857142857146,794476.0,74.0,9.31431534747431e-05,19.317460317460316
39,Bono: My wish: Three actions for Africa,718649,112,0.00016,5.92143,58805.0,90.0,0.0015304821018620866,9.266666666666667,777454.0,202.0,0.0002598224460868424,6.511764705882353
40,Edward Burtynsky: My wish: Manufactured landscapes and green education,975107,58,6e-05,7.2069,1229.0,,,3.0,976336.0,,,7.170940170940171
41,Robert Fischell: My wish: Three unusual medical inventions,382996,33,9e-05,5.83562,17754.0,19.0,0.0010701813675791372,7.846153846153846,400750.0,52.0,0.00012975670617592014,6.1395348837209305
42,Peter Donnelly: How juries are fooled by statistics,1053758,105,0.0001,7.75494,203037.0,143.0,0.0007043051266517926,33.11904761904762,1256795.0,248.0,0.0001973273286415048,11.366101694915255
43,Michael Shermer: Why people believe weird things,5364639,494,9e-05,12.81517,2161973.0,6684.0,0.003091620478146582,13.629928315412187,7526612.0,7178.0,0.0009536827459685713,13.449912739965097
44,Ray Kurzweil: The accelerating power of technology,2434344,233,0.0001,5.33077,275107.0,651.0,0.002366352001221343,20.31764705882353,2709451.0,884.0,0.0003262653578160299,7.4363636363636365
45,Kevin Kelly: How technology evolves,1536873,149,0.0001,4.51683,68338.0,37.0,0.0005414264391700079,16.20689655172414,1605211.0,186.0,0.00011587261736930534,5.151685393258427
46,Peter Gabriel: Fight injustice with raw video,904215,52,6e-05,8.87209,34705.0,19.0,0.0005474715458867598,25.428571428571427,938920.0,71.0,7.56187960635624e-05,10.118279569892474
47,Richard St. John: 8 secrets of success,10841210,578,5e-05,13.64683,2258456.0,470.0,0.0002081067773735685,58.27061310782241,13099666.0,1048.0,8.000203974666224e-05,27.7369826435247
48,Rives: If I controlled the Internet,1813665,95,5e-05,6.56857,332320.0,217.0,0.0006529850746268657,19.910958904109588,2145985.0,312.0,0.00014538778230043547,10.495967741935484
49,Dean Ornish: The killer American diet that's sweeping the planet,2299265,199,9e-05,6.15574,10682.0,1.0,9.361542782250516e-05,11.666666666666666,2309947.0,200.0,8.658207309518357e-05,6.222672064777328
50,Robert Neuwirth: The hidden world of shadow cities,673036,85,0.00013,2.21795,44701.0,35.0,0.0007829802465269233,9.416666666666666,717737.0,120.0,0.00016719216091688182,2.732142857142857
51,Bjorn Lomborg: Global priorities bigger than climate change,1391142,499,0.00036,3.18064,252153.0,874.0,0.0034661495203309103,5.371345029239766,1643295.0,1373.0,0.0008355164471382193,3.738095238095238
52,Wade Davis: Dreams from endangered cultures,2532851,371,0.00015,17.16929,295786.0,170.0,0.0005747398456992555,28.657894736842106,2828637.0,541.0,0.0001912581925499808,19.815151515151516
53,Phil Borges: Photos of endangered cultures,882034,59,7e-05,6.19,22132.0,13.0,0.0005873847822157961,8.941176470588236,904166.0,72.0,7.963139511992267e-05,6.589743589743589
54,Martin Rees: Is this our final century?,2121177,203,0.0001,6.54337,777611.0,3395.0,0.004365936181458339,6.55237242614145,2898788.0,3598.0,0.0012412083946808114,6.550033134526176
55,Robert Wright: Progress is not a zero-sum game,1090180,130,0.00012,3.93764,68123.0,99.0,0.0014532536735023414,16.436363636363637,1158303.0,229.0,0.00019770301898553314,5.346311475409836
56,"Steven Johnson: How the ""ghost map"" helped end a killer disease",684519,47,7e-05,9.55172,86662.0,21.0,0.00024232074034755718,20.285714285714285,771181.0,68.0,8.817644625580765e-05,11.03960396039604
57,Charles Leadbeater: The era of open innovation,1409327,91,6e-05,10.79699,99934.0,28.0,0.00028018492204855204,24.6,1509261.0,119.0,7.884653482730953e-05,12.601307189542483
58,"Pilobolus: A dance of ""Symbiosis""",3051507,222,7e-05,24.69068,1944680.0,648.0,0.00033321677602484725,31.091216216216218,4996187.0,870.0,0.00017413279366845156,28.25187969924812
59,Anna Deavere Smith: Four American characters,978825,111,0.00011,10.51562,139004.0,48.0,0.0003453138039193117,22.205882352941178,1117829.0,159.0,0.0001422400027195573,12.969135802469136
60,Saul Griffith: Everyday inventions,442553,28,6e-05,1.77184,23615.0,6.0,0.0002540757992801186,10.818181818181818,466168.0,34.0,7.293507919891542e-05,2.230414746543779
61,Neil Gershenfeld: Unleash your creativity in a Fab Lab,691814,64,9e-05,7.66355,1825.0,1.0,0.000547945205479452,18.0,693639.0,65.0,9.370868708362707e-05,7.831775700934579
62,Carl Honoré: In praise of slowness,2441805,226,9e-05,10.33648,160845.0,93.0,0.0005781964002611209,53.76923076923077,2602650.0,319.0,0.0001225673832440013,13.619186046511627
63,Bill Clinton: My wish: Rebuilding Rwanda,849859,97,0.00011,7.88722,97294.0,81.0,0.0008325282134561227,7.811320754716981,947153.0,178.0,0.00018793162245170526,7.865591397849462
64,E.O. Wilson: My wish: Build the Encyclopedia of Life,1335732,89,7e-05,9.98742,59154.0,34.0,0.0005747709368766271,30.571428571428573,1394886.0,123.0,8.817924905691218e-05,11.653179190751445
65,James Nachtwey: My wish: Let my photographs bear witness,1262674,107,8e-05,21.98058,367488.0,109.0,0.00029660832462556603,49.357142857142854,1630162.0,216.0,0.00013250216849613718,29.910344827586208
